,track_id,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
96,1DIXPcTDzTj8ZMHt3PDt8p,0.647,0.514,8,-10.05,0.0593,0.0655,0.0,0.398,0.386,79.975
97,5Sk39LuvdwuvL84jD01Dum,0.706,0.91,1,-3.527,0.146,0.175,2e-06,0.11,0.667,126.007
98,2PqSNVmiEQpFkLoNPoDfwI,0.681,0.659,9,-6.405,0.268,0.000856,8.17e-06,0.11,0.225,156.004
99,4miDVIkADmVVvn36iFmBTB,0.428,0.976,1,0.174,0.486,0.0927,0.0,0.434,0.0933,97.355
100,6C7ZgThn6Yan5MTZdAEEFw,0.791,0.759,10,-7.378,0.129,0.0314,0.674,0.255,0.619,102.382
101,1lXofGJvQoTFSMTq616jwR,0.568,0.951,6,-4.646,0.695,0.0535,0.0,0.226,0.21,144.866
102,5WNBGRcXWeoXrXJHrQqodi,0.597,0.969,1,-0.76,0.0378,8.3e-05,0.0086,0.202,0.671,123.029
103,46PndWC5iW7JpdmaY2Jswq,0.863,0.587,2,-7.455,0.295,0.212,0.0,0.0832,0.749,93.29
104,2JvzF1RMd7lE3KmFlsyZD8,0.837,0.364,8,-11.713,0.276,0.149,0.0,0.271,0.463,123.984
105,48RN2EOOyG2Gs5Pyla7ZJj,0.78,0.799,9,-6.359,0.15,0.158,0.0,0.209,0.414,109.944
106,6BSPfADBMriOIJmiNnc6mC,0.619,0.899,4,-3.914,0.397,0.0689,0.0,0.106,0.507,150.186
107,3PXkCLjfTwH0fpolS9yELH,0.811,0.773,2,-7.224,0.124,0.0189,0.425,0.544,0.128,120.053
108,5ry2OE6R2zPQFDO85XkgRb,0.831,0.502,10,-4.045,0.046,0.101,0.0,0.122,0.101,100.541
109,21yRtB6B8EMounImAfHRCP,0.706,0.485,8,-9.671,0.331,0.337,0.0,0.122,0.144,115.414
110,7JuHVG3qQKQKxC4doneXVW,0.759,0.538,8,-8.256,0.384,0.151,0.0,0.126,0.831,146.933
111,5CEqIyfuiSa1MTTUh8kr7f,0.949,0.525,1,-7.096,0.169,0.00716,0.0,0.101,0.26,100.068
112,6T3POTthttYLECCcl3SnFP,0.686,0.793,10,-5.963,0.249,0.143,0.122,0.236,0.422,131.971
113,68S9nUryrRfdjavft0aQyX,0.743,0.828,1,-6.233,0.106,0.0415,0.5,0.134,0.21,150.01
114,6Tguhaf2uAe6OjRLsR2Tql,0.846,0.48,8,-8.618,0.359,0.269,0.0,0.0989,0.419,143.029
115,7sLpSWxQazJzDVG6YGzlVs,0.494,0.887,6,-4.297,0.398,0.00661,0.0,0.103,0.548,89.554
116,1Llob3IV3Lm0a9AMFjNtLI,0.6,0.835,5,-4.374,0.0388,0.00012,0.038,0.506,0.736,136.033
117,3MoUZEDkD3ev41wp1pM9PW,0.462,0.831,11,-6.577,0.262,0.0673,0.0,0.127,0.378,155.102
118,2ooF4088y5L72c4YTEJQoB,0.755,0.695,9,-5.963,0.26,0.0179,0.0,0.107,0.493,128.063
119,3O7lxdQoe1aNWs93VSHsJg,0.857,0.676,1,-5.359,0.192,0.218,0.0,0.0592,0.339,103.998
