,track_id,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
272,5MYFw4T2gy52pOGBN4EYHS,0.789,0.881,11,-5.758,0.0331,0.109,0.0,0.355,0.647,133.299
273,0b18g3G5spr4ZCkz7Y6Q0Q,0.758,0.913,6,-2.926,0.113,0.00364,6.92e-05,0.193,0.658,128.04
274,2igwFfvr1OAGX9SKDCPBwO,0.491,0.956,11,-1.538,0.392,0.0295,0.0,0.46,0.811,173.585
275,1mea3bSkSGXuIRvnydlB5b,0.486,0.617,5,-7.115,0.0287,0.0954,3.23e-06,0.109,0.417,138.015
276,2ihCaVdNZmnHZWt0fvAM7B,0.457,0.757,1,-5.177,0.032,0.0206,0.0,0.146,0.417,102.961
277,0GO8y8jQk1PkHzS31d699N,0.56,0.936,3,-5.835,0.0439,0.00847,0.0,0.161,0.371,112.96
278,2ZGAWiLZh2aRxp2iTL5yMS,0.531,0.79,10,-7.213,0.234,0.281,0.0,0.301,0.339,79.942
279,2rmwqU7yzTvzkiaRV53DpT,0.721,0.769,7,-4.111,0.105,0.0922,0.0,0.0817,0.915,155.932
280,6ITh7fwyakIjrfhfDaqIV3,0.562,0.895,3,-4.768,0.11,0.000559,8.42e-05,0.102,0.68,144.009
281,0yCWDaAgOtg6TKlNCg9rwA,0.77,0.84,11,-4.022,0.107,0.515,0.00452,0.145,0.192,96.012
282,6Dy1jexKYriXAVG6evyUTJ,0.787,0.833,8,-4.403,0.0478,0.018,0.00747,0.0374,0.796,123.97
283,0yaEc9gKZ9G3Dao1JPMUnd,0.731,0.867,11,-5.003,0.0382,0.0249,0.0,0.322,0.663,100.014
284,5xvUgoVED1F4mBu8FL0HaW,0.715,0.872,2,-3.835,0.0509,0.00351,3.84e-05,0.107,0.748,93.043
285,6RRNNciQGZEXnqk8SQ9yv5,0.771,0.671,2,-5.617,0.0553,0.00929,0.0,0.0637,0.714,85.026
286,1DunhgeZSEgWiIYbHqXl0c,0.729,0.735,1,-5.455,0.0919,0.0178,0.000193,0.089,0.544,121.986
287,0TK2YIli7K1leLovkQiNik,0.759,0.54,9,-6.039,0.0287,0.037,0.0,0.0945,0.75,116.947
288,1FdbP9ZAcqQnOcda55boaL,0.708,0.893,8,-2.002,0.0549,0.0188,5.47e-05,0.471,0.753,100.031
289,3UEOT0hD60yGB1OMWJxLQ8,0.692,0.758,3,-3.453,0.0522,0.158,0.0,0.0774,0.701,94.058
290,2PEo8JQ48mfEv8a2HLqDvt,0.875,0.846,7,-5.276,0.0716,0.137,1.15e-05,0.123,0.697,114.981
291,5fwSHlTEWpluwOM0Sxnh5k,0.762,0.766,7,-3.955,0.0343,0.00776,6.98e-05,0.128,0.442,130.001
292,3cHyrEgdyYRjgJKSOiOtcS,0.581,0.963,11,-4.087,0.0981,0.0295,0.0,0.139,0.788,129.992
293,3a8MdG36ZWOfqwWZBmN2Nx,0.843,0.682,4,-9.781,0.111,0.0314,0.00177,0.0875,0.945,152.998
294,3nZr2Anx8AEkI3thetbBzP,0.59,0.908,8,-4.137,0.0475,0.392,3.12e-06,0.257,0.784,87.989
295,28C4nmrd7BTu0XbOmaTHZr,0.515,0.869,11,-4.732,0.0672,0.00257,2.01e-06,0.21,0.452,93.24
296,69kOkLUCkxIZYexIgSG8rq,0.81,0.793,6,-9.404,0.0403,0.0378,1.77e-06,0.072,0.863,116.05
297,4ZH03VC3uJk7uKk7CwsBqH,0.706,0.777,10,-4.591,0.0567,0.299,0.0,0.298,0.638,126.008
298,29vchuApvo5GeOAeGdAbfz,0.685,0.718,11,-6.993,0.069,0.0119,0.0,0.329,0.46,108.988
299,6XPmY4hIb1RGRyNuq0UBsl,0.622,0.431,11,-8.26,0.0293,0.0955,0.0,0.088,0.365,117.919
300,1ocYa8PoVd5e2vPn0xHJcA,0.659,0.665,8,-8.181,0.0266,0.456,0.000486,0.0898,0.692,93.012
301,51xUartdwQzXmtrwHyXRVp,0.669,0.593,7,-6.628,0.0406,0.14,0.0,0.119,0.281,87.965
302,0QBzMgT7NIeoCYy3sJCof1,0.756,0.697,8,-6.377,0.0401,0.182,0.0,0.333,0.956,94.996
303,5plDUEEu4r5YEzHL8IhOs1,0.639,0.843,1,-4.734,0.0464,0.00226,0.0,0.227,0.546,130.135
304,7lvDsmTRXFE3dK4OjvRiWB,0.714,0.596,11,-6.206,0.043,0.0657,0.0,0.0625,0.669,91.991
305,1QbftLk2fmvtjmQ6DTvbAB,0.584,0.787,1,-4.247,0.0308,0.0986,0.0,0.0706,0.481,90.072
306,05GMLY6KSf1GFJQuUj3dqD,0.622,0.811,2,-5.696,0.0306,0.226,0.0,0.0782,0.371,90.987
