,track_id,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
165,2enuUNOuQe22b6LB31bimX,0.803,0.569,1,-6.366,0.0705,0.0957,0.0,0.0976,0.26,95.009
166,1Slwb6dOYkBlWal1PGtnNg,0.781,0.445,2,-6.061,0.0295,0.474,0.0,0.184,0.591,78.998
167,3a2tuvXCHbW5nuUckuHkKT,0.445,0.757,1,-5.177,0.0322,0.0206,0.0,0.146,0.421,102.878
168,4llK75pXNWZz6KAho2Gp16,0.651,0.663,0,-5.569,0.0281,0.228,0.0,0.0994,0.465,102.0
169,5CM4UuQ9Gnd6K2YyKGPMoK,0.686,0.507,1,-7.097,0.0357,0.626,7.51e-05,0.383,0.69,168.955
170,2796m8y7tOCTUsTQfjmeI4,0.81,0.636,1,-6.072,0.0487,0.303,0.0,0.131,0.687,101.966
171,1XdZpce5hIRfdh41JGZU7B,0.687,0.771,5,-3.572,0.0418,0.561,5.31e-06,0.325,0.808,146.06
172,7lAK3oHbfEnvUQWosrMMpR,0.785,0.554,0,-6.571,0.0409,0.283,3.4e-06,0.116,0.144,128.047
173,0IJA9KP6rT55jrP1YpTdhx,0.732,0.636,7,-6.162,0.0497,0.0847,0.0,0.241,0.358,138.061
174,3uqwg59FCcL6XoM6ld7pca,0.403,0.421,10,-7.482,0.0262,0.256,0.00492,0.114,0.2,63.007
175,6U0FIYXCQ3TGrk4tFpLrEA,0.453,0.538,1,-8.212,0.0638,0.449,0.0,0.19,0.516,122.973
176,5uCax9HTNlzGybIStD3vDh,0.358,0.557,10,-7.398,0.059,0.695,0.0,0.0902,0.494,85.043
177,5qII2n90lVdPDcgXEEVHNy,0.608,0.768,0,-5.227,0.0475,0.0913,0.0,0.0629,0.809,88.059
178,68YC7xTbzx9IRjLIIffE43,0.65,0.753,0,-6.393,0.0756,0.0573,0.0,0.65,0.198,128.002
179,4wVOKKEHUJxHCFFNUWDn0B,0.735,0.449,10,-7.507,0.347,0.629,0.0,0.113,0.0397,122.947
180,1Cv1YLb4q0RzL6pybtaMLo,0.878,0.525,5,-6.832,0.0578,0.183,0.0,0.0714,0.694,112.022
181,3AJwUDP919kvQ9QcozQPxg,0.429,0.661,11,-7.227,0.0281,0.00239,0.000121,0.234,0.285,173.372
182,6zSpb8dQRaw0M1dK8PBwQz,0.796,0.798,1,-6.312,0.0317,0.034,4.19e-05,0.0952,0.942,116.032
183,7yswZLCCf3jY67vhBO03oJ,0.485,0.235,5,-14.285,0.0957,0.452,0.000759,0.366,0.112,99.086
