,track_id,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
225,7LR85XLWw2yXqKBSI5brbG,0.632,0.924,1,-1.802,0.29,0.281,0.0,0.263,0.441,86.844
226,2KLwPaRDOB87XOYAT2fgxh,0.749,0.63,4,-6.652,0.116,0.0623,0.0,0.353,0.445,122.03
227,3la0ENaflb1JSBn7ZRVigs,0.729,0.691,9,-5.22,0.0598,0.144,0.0,0.276,0.348,94.983
228,5Z01UMMf7V1o0MzF86s6WJ,0.692,0.744,2,-4.565,0.257,0.00868,0.000423,0.359,0.0612,171.374
229,19s7W71y7IZDAn6X2mnCqr,0.889,0.354,0,-14.455,0.315,0.0186,0.0,0.0557,0.649,160.023
230,5cF0dROlMOK5uNZtivgu50,0.775,0.613,3,-4.586,0.0542,0.109,2.33e-05,0.134,0.797,100.066
231,2K87XMYnUMqLcX3zvtAF4G,0.73,0.703,0,-5.672,0.0369,0.109,0.0,0.0657,0.595,138.113
232,1Y5Jvi3eLi4Chwqch9GMem,0.825,0.414,2,-6.634,0.144,0.00265,0.0,0.357,0.106,72.993
233,5KONnBIQ9LqCxyeSPin26k,0.635,0.691,0,-4.862,0.258,0.555,0.0,0.097,0.638,82.142
234,2ONIkbO7hnizskcAo1v8Tj,0.754,0.581,1,-7.76,0.395,0.00435,0.0,0.1,0.314,75.494
235,18UzSJuF847oRBY2OZWdm3,0.895,0.791,4,-4.581,0.202,0.0513,0.0,0.384,0.607,106.048
236,79s5XnCN4TJKTVMSmOx8Ep,0.548,0.805,7,-5.732,0.351,0.212,0.000389,0.408,0.648,142.094
237,7DQ5CZjAQdhgDgdnSXxJ7Z,0.567,0.946,5,-2.245,0.0541,0.0978,1.37e-06,0.0836,0.295,104.983
238,4G8gkOterJn0Ywt6uhqbhp,0.448,0.784,9,-3.686,0.0627,0.106,0.000108,0.668,0.236,136.245
239,0ByMNEPAPpOR5H69DVrTNy,0.835,0.669,6,-5.582,0.0643,0.0336,6.92e-05,0.0535,0.542,122.668
240,2RSHsoi04658QL5xgQVov3,0.383,0.637,3,-6.993,0.0703,0.0722,0.0,0.368,0.0827,177.913
241,5FEXPoPnzueFJQCPRIrC3c,0.871,0.44,11,-6.25,0.0761,0.499,4.15e-06,0.114,0.799,137.996
242,5J4ZkQpzMUFojo1CtAZYpn,0.472,0.714,1,-4.389,0.0334,0.00937,0.0,0.0764,0.24,98.992
