,track_id,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
184,0NlGoUyOJSuSHmngoibVAs,0.188,0.411,0,-9.733,0.0484,0.174,0.153,0.0843,0.159,187.376
185,3AVrVz5rK8Hrqo9YGiVGN5,0.369,0.467,5,-9.018,0.0274,0.0194,0.46,0.109,0.174,94.473
186,10hMM5nsZQf66ldBlgWBfG,0.348,0.652,3,-7.145,0.0931,0.0165,0.000264,0.33,0.172,70.956
187,6p2DKSuKLPvIBIHkoqBTtX,0.649,0.257,3,-8.505,0.0307,0.902,0.0,0.134,0.184,104.773
188,5dyihZecYMcEPq09Bk2OL2,0.731,0.153,4,-14.409,0.0562,0.952,0.0,0.134,0.324,78.072
189,6MxMqCgqmekcr0VwSU7AVH,0.677,0.688,0,-4.058,0.0633,0.138,0.0,0.114,0.198,98.049
190,3bzgUqMZShKYULCSTDKE3x,0.501,0.315,10,-14.912,0.0409,0.971,0.933,0.183,0.264,85.168
191,4UKCKdYiLN6IMA5ZESUTL7,0.699,0.304,1,-11.192,0.0993,0.779,0.000993,0.137,0.271,119.705
192,7qEHsqek33rTcFNT9PFqLf,0.501,0.405,1,-5.679,0.0319,0.751,0.0,0.105,0.446,109.891
193,68RI4I6SKm57SxjG06OYvN,0.521,0.0889,4,-19.457,0.0507,0.988,0.182,0.0965,0.0479,115.43
194,5BAXlRDW3YaPr3rfqV51TA,0.83,0.251,4,-19.774,0.0779,0.98,0.893,0.195,0.164,109.999
195,6RQ5IwG7uADz9LDWliJGjU,0.604,0.199,0,-11.831,0.05,0.777,0.0,0.109,0.191,76.134
196,0otRX6Z89qKkHkQ9OqJpKt,0.338,0.562,9,-7.181,0.029,0.039,0.0,0.107,0.259,149.907
197,1SOClUWhOi8vHZYMz3GluK,0.671,0.673,11,-6.941,0.0444,0.148,5.29e-05,0.304,0.494,121.963
198,72794Eag03xdy7TO0KNuid,0.35,0.12,3,-11.104,0.0393,0.982,0.000289,0.103,0.121,68.995
199,135Lf4Q0CzlMNfOxbEUsLH,0.391,0.335,0,-10.064,0.0763,0.389,0.0,0.102,0.116,174.185
200,7wRijQK8vRmGLK0RYW7Vr1,0.44,0.357,1,-14.264,0.058,0.841,0.00249,0.114,0.286,154.074
